Period,Mean real labour income,Total workers
51,6853.2466625781,11185633
52,6832.2540861548,11102417
53,6441.0704283217,11090768
54,6254.1240431473,11075806
55,6292.2491261058,11207235
56,6392.9117011473,11197960
57,6400.0742597181,11098826
58,6426.69265356,11012973
59,6623.73690984,11067051
60,6640.5477990061,11097462
61,6554.875379832,11081009
62,6544.6805333525,11169600
63,6644.0456665759,11205712
64,6671.3986313802,11230313
65,6695.8950209467,11247865
66,6720.7718234031,11371245
67,6761.4394100798,11423833
68,6776.5347719675,11434245
69,6818.9905906955,11433742
70,6853.4416546242,11472898
71,6877.5571497426,11560113
72,6903.6576650199,11587597
73,6926.8662926823,11630769
74,6990.3766813966,11607877
75,7046.221151395,11665736
76,7087.5370346905,11708031
77,7096.7233294851,11735958
78,7130.0354149462,11819178
79,7178.6531328139,11814835
80,7210.2512157736,11888483
81,7264.714150995,11866998
82,7277.5454279013,11928252
83,7332.9577788564,12006385
84,7367.7795082064,12051298
85,7418.8370541123,12039342
86,7455.5201332528,12081585
87,7474.8550881684,12137492
88,7521.14881468,12149838
89,7545.6108654455,12231864
90,7580.416039598,12299770
91,7633.1649400026,12261843
92,7684.8244292565,12277444
93,7768.2171880702,12341823
94,7797.6509774521,12411382
95,7827.8194889459,12416671
96,7883.289667629,12426579
97,7907.153000213,12455121
98,7952.2879759262,12434257
99,7996.9802759325,12538138
100,8030.7002312529,12596838
101,8056.8192388928,12668660
102,8107.9494191315,12668432
103,8140.1115272218,12724071
104,8177.234687395,12722616
105,8252.561874183,12702127
106,8276.2669768255,12736755
107,8317.715177565,12764110
108,8367.8465137456,12853418
109,8403.6240751136,12885686
110,8440.9521529395,12896621
111,8474.4832434986,12870209
112,8532.0891900078,12891042
113,8551.4518753977,12955445
114,8559.6327570792,12975545
115,8604.4419825089,13010148
116,8677.596267957,12941154
117,8669.6739111444,12978657
118,8720.4833025641,12983148
119,8720.663117228,13059551
120,8761.337540464,12987179
121,8783.1283856309,12992887
122,8849.2534901671,13004695
123,8867.6424169037,13010508
124,8885.8708015229,13004711
125,8891.2713210392,13006978
126,8957.4207650615,12976223
127,8965.3390957073,12968366
128,8999.853781934,12984922
129,9047.9199965307,13073425
130,9038.6756642834,13100071
131,9126.0930295412,13071157
132,9156.4223679721,13042341
133,9192.7455744417,13018434
134,9202.07444273,13102133
135,9219.9114326445,13132125
136,9288.6217689273,13064011
137,9261.6679430942,13110398
138,9315.494405809,13100449
139,9342.6371480744,13085969
140,9404.4336354793,13058446
141,9448.6145753264,13057668
142,9482.5557488531,13039339
143,9523.9528452654,13028738
144,9556.1669804127,13082440
145,9616.7470356801,13018666
146,9653.2562157625,13021686
147,9655.424702604,13043713
148,9709.0159224305,13058593
149,9733.8705829301,13091048
150,9795.369438661,13029256
151,9818.6557912776,13000340
152,9819.2557912749,13035351
