period,period2,_1_all,_2_all,_3_all,_4_all,_5_all
2016_2,166,0.3221899139,0.0456453712,0.2348034106,0.0625219788,0.3348393255
2016_3,167,0.3228056563,0.0485747458,0.2367777292,0.0570224384,0.3348194304
2016_4,168,0.3205889031,0.0507698139,0.2320785656,0.0496301592,0.3469325582
2017_1,169,0.3134198001,0.0547997151,0.228828906,0.0611223909,0.341829188
2017_2,170,0.3196026296,0.0468037677,0.2367240818,0.0583110434,0.3385584775
2017_3,171,0.3221238599,0.0503857298,0.2444182715,0.0558451968,0.327226942
2017_4,172,0.3266278983,0.0487795618,0.2453926139,0.0485611585,0.3306387675
2018_1,173,0.3243451291,0.0490703456,0.2378315037,0.0618122447,0.3269407769
2018_2,174,0.3186336893,0.0521173355,0.2355307223,0.0651845994,0.3285336535
2018_3,175,0.3206211113,0.0528185089,0.2420088888,0.0616050563,0.3229464347
2018_4,176,0.3171622819,0.0489948818,0.2430158096,0.0618302066,0.3289968201
2019_1,177,0.3193990429,0.0498357837,0.2401198364,0.0688272648,0.3218180722
2019_2,178,0.3243545601,0.049532492,0.2384687317,0.0734945364,0.3141496798
