,period,young,middle,old,percent_young,percent_middle,percent_old,young_age_dependency_ratio,old_age_dependency_ratio,total_dependency_ratio,,,
2014,48,7003440,16998879,2722801,"26,205457637","63,606371085","10,188171279","0,41","0,1601753269","0,5721695531",,,"10,19%"
2015,49,6983140,17029053,2744701,"26,098470174","63,643609008","10,257920818","0,41","0,1611775476","0,5712496755",,,"10,26%"
2015,50,6967937,17068973,2756143,"26,006506239","63,706711587","10,286782174","0,41","0,1614709333","0,569693326","0,57","0,41","10,29%"
2015,51,6935477,17111825,2791987,"25,840762771","63,756625595","10,402611634","0,41","0,1631612642","0,5684644391",,,"10,40%"
2015,52,6917509,17155128,2819671,"25,72300228","63,791951215","10,485046505","0,40","0,1643631572","0,5675958815",,,"10,49%"
2016,53,6905239,17195726,2842383,"25,628734039","63,821786364","10,549479597","0,40","0,1652958997","0,5668630682",,,"10,55%"
2016,54,6876464,17229563,2873313,"25,48788814","63,8620626","10,65004926","0,40","0,1667664467","0,5658748861","0,56","0,40","10,65%"
2016,55,6841091,17281429,2884993,"25,330325676","63,987487482","10,682186842","0,40","0,1669418079","0,5628055411",,,"10,68%"
2016,56,6809961,17334479,2909282,"25,17199297","64,074285231","10,753721798","0,39","0,1678320993","0,5606884983",,,"10,75%"
2017,57,6773706,17365926,2949384,"25,005360106","64,106891147","10,887748747","0,39","0,1698374161","0,5598947041",,,"10,89%"
2017,58,6735886,17424076,2969905,"24,82830454","64,224701138","10,946994322","0,39","0,1704483497","0,5570333256","0,56","0,39","10,95%"
2017,59,6710569,17463607,2998598,"24,695929094","64,268767701","11,035303205","0,38","0,171705536","0,5559657292",,,"11,04%"
2017,60,6702907,17501607,3009058,"24,630750421","64,312053559","11,05719602","0,38","0,1719303833","0,5549184712",,,"11,06%"
2018,61,6667915,17545442,3024892,"24,479969325","64,414720638","11,105310037","0,38","0,1724032943","0,5524401722",,,"11,11%"
2018,62,6628564,17604794,3051352,"24,294060666","64,52256227","11,183377064","0,38","0,1733250613","0,5498454569","0,55","0,38","11,18%"
2018,63,6597875,17649292,3079245,"24,144680978","64,58693516","11,268383862","0,37","0,1744684716","0,5483007477",,,"11,27%"
2018,64,6578159,17690841,3097264,"24,037475484","64,644706344","11,317818172","0,37","0,1750772617","0,5469170742",,,"11,32%"
2019,65,6564681,17731528,3122081,"23,942707587","64,670437143","11,386855271","0,37","0,1760751245","0,5463015934",,,"11,39%"
2019,66,6532493,17776574,3159031,"23,782108976","64,71716389","11,500727134","0,37","0,1777075268","0,5451851408","0,55","0,37","11,50%"
2019,67,6507726,17805486,3194016,"23,658239936","64,730208366","11,611551698","0,37","0,1793838146","0,5448737541",,,"11,61%"
2019,68,6484749,17844811,3231425,"23,528727293","64,746637321","11,724635386","0,36","0,1810848543","0,5444817544",,,"11,72%"
2020,69,6453099,17885024,3250619,"23,390334362","64,827254537","11,782411101","0,36","0,1817508883","0,5425610835",,,"11,78%"
2020,70,6418327,17940218,3269243,"23,23141831","64,935412129","11,833169561","0,36","0,1822298369","0,539991766","0,54","0,36","11,83%"
2020,71,6386743,17992543,3282209,"23,088929214","65,045446748","11,865624038","0,35","0,1824205172","0,5373866273",,,"11,87%"
2020,72,6356308,18038529,3294806,"22,955543342","65,145401116","11,899055542","0,35","0,1826538073","0,5350277731",,,"11,90%"
2021,73,6336124,18080394,3320974,"22,843175583","65,183953906","11,97287051","0,35","0,1836781875","0,534119887",,,"11,97%"
2021,74,6306490,18128284,3336817,"22,708421711","65,276361012","12,015217277","0,35","0,1840668979","0,5319481425","0,53","0,35","12,02%"
2021,75,6268152,18180321,3346265,"22,551577928","65,409218824","12,039203248","0,34","0,1840597314","0,528836482",,,"12,04%"
2021,76,6235062,18225017,3366055,"22,40721618","65,496044115","12,096739705","0,34","0,1846942036","0,5268097692",,,"12,10%"
2022,77,6222239,18263968,3386366,"22,323877311","65,526666663","12,149456026","0,34","0,1854123923","0,5260962459",,,"12,15%"
2022,78,6195249,18302610,3397329,"22,209024008","65,612069006","12,178906986","0,34","0,1856199198","0,5241098401","0,52","0,34","12,18%"
2022,79,6179680,18325510,3412235,"22,13556587","65,641834804","12,222599326","0,34","0,1862013663","0,5234187207",,,"12,22%"
2022,80,6159096,18347315,3438920,"22,039803357","65,654312701","12,305883942","0,34","0,1874345102","0,5231291881",,,"12,31%"
2023,81,6150480,18393258,3445505,"21,97444211","65,715453612","12,310104278","0,33","0,1873243446","0,521712086",,,"12,31%"
2023,82,6111009,18449825,3457065,"21,811089404","65,850137442","12,338773154","0,33","0,187376574","0,5185997157","0,52","0,33","12,34%"
2023,83,6090296,18484595,3474846,"21,712488784","65,899352283","12,388158934","0,33","0,18798605","0,5174655977",,,"12,39%"
2023,84,6074527,18506146,3502100,"21,630794794","65,898570629","12,470634577","0,33","0,1892398342","0,5174835971",,,"12,47%"
2024,85,6034011,18546886,3536159,"21,460322873","65,963115057","12,57656207","0,33","0,1906605238","0,5159987504",,,"12,58%"
2024,86,6002576,18582638,3546746,"21,337212196","66,055255304","12,6075325","0,32","0,1908634285","0,513884089","0,51","0,32","12,61%"
2024,87,5946830,18636817,3573004,"21,120516073","66,189750336","12,689733591","0,32","0,191717502","0,5108079346",,,"12,69%"
2024,88,5921201,18665683,3600755,"21,006374461","66,219391415","12,774234124","0,32","0,1929077548","0,5101316678",,,"12,77%"
2025,89,5893185,18700865,3617730,"20,889093138","66,287433831","12,823473031","0,32","0,1934525489","0,5085815549",,,"12,82%"
2025,90,5854683,18750668,3634112,"20,732274548","66,398812187","12,868913265","0,31","0,1938124018","0,5060510378","0,51","0,31","12,87%"
2025,91,5822724,18789678,3656583,"20,597570093","66,467466023","12,934963884","0,31","0,1946059427","0,5044954469",,,"12,93%"
2025,92,5799216,18822521,3678037,"20,492092976","66,511206061","12,996700963","0,31","0,1954061839","0,5035060394",,,"13,00%"
2026,93,5748007,18893511,3687048,"20,290497585","66,694201888","13,015300527","0,30","0,1951489059","0,4993807133",,,"13,02%"
2026,94,5726370,18936685,3698413,"20,190668551","66,769057935","13,040273515","0,30","0,1953041411","0,4976997294","0,50","0,30","13,04%"
2026,95,5691144,18963894,3725159,"20,053222323","66,820868086","13,125909591","0,30","0,1964342872","0,4965384746",,,"13,13%"
2026,96,5643322,19025524,3733774,"19,869019126","66,985102079","13,145878796","0,30","0,1962507839","0,4928692634",,,"13,15%"
2027,97,5621913,19054640,3755149,"19,773395909","67,018991688","13,207612404","0,30","0,1970726815","0,4921143616",,,"13,21%"
2027,98,5609616,19093306,3774960,"19,698150305","67,04608861","13,255761085","0,29","0,1977111769","0,4915113182","0,49","0,29","13,26%"
2027,99,5575792,19136818,3807790,"19,550188637","67,09870128","13,351110083","0,29","0,1989771758","0,4903418113",,,"13,35%"
2027,100,5543386,19172059,3821015,"19,425626024","67,184433528","13,389940448","0,29","0,1993012331","0,4884400262",,,"13,39%"
2028,101,5509662,19228667,3838433,"19,280217962","67,287773891","13,432008147","0,29","0,1996203377","0,4861540844",,,"13,43%"
2028,102,5486981,19260568,3863508,"19,17783394","67,318617414","13,503548646","0,28","0,2005915921","0,4854731698","0,49","0,28","13,50%"
2028,103,5469279,19289750,3894943,"19,087332814","67,319637222","13,593029965","0,28","0,2019177542","0,4854506668",,,"13,59%"
2028,104,5456054,19300916,3926338,"19,021704191","67,289714283","13,688581526","0,28","0,2034275472","0,4861112291",,,"13,69%"
2029,105,5404677,19358005,3954259,"18,820517826","67,409704258","13,769777916","0,28","0,2042699648","0,4834659357",,,"13,77%"
2029,106,5364646,19399357,3973148,"18,667981388","67,506194334","13,825824279","0,28","0,2048082315","0,4813455415","0,48","0,28","13,83%"
2029,107,5334600,19433116,3986851,"18,55218338","67,582711296","13,865105324","0,27","0,2051575774","0,4796683661",,,"13,87%"
2029,108,5297533,19472552,4002270,"18,411885298","67,6779916","13,910123103","0,27","0,2055339228","0,4775852184",,,"13,91%"
2030,109,5285218,19484567,4020415,"18,357698106","67,677775771","13,964526123","0,27","0,2063384318","0,4775899305",,,"13,96%"
2030,110,5272871,19491899,4048181,"18,300350422","67,649783599","14,049865979","0,27","0,2076853056","0,4782013287","0,48","0,27","14,05%"
2030,111,5239733,19533070,4070381,"18,166278036","67,721614923","14,112107041","0,27","0,2083840891","0,4766334222",,,"14,11%"
2030,112,5219003,19586458,4066881,"18,076133207","67,83813381","14,085732983","0,27","0,2076373891","0,4740971543",,,"14,09%"
2031,113,5214193,19598958,4084334,"18,043760556","67,822365856","14,133873588","0,27","0,2083954667","0,4744398656",,,"14,13%"
2031,114,5215839,19601298,4106950,"18,032856145","67,768078557","14,199065298","0,27","0,2095243897","0,4756210022","0,48","0,27","14,20%"
2031,115,5211916,19617558,4114989,"18,006608034","67,776548489","14,216843477","0,27","0,2097605115","0,4754365961",,,"14,22%"
2031,116,5189613,19637578,4133288,"17,919638","67,808194747","14,272167252","0,26","0,210478502","0,4747480061",,,"14,27%"
2032,117,5177121,19646935,4165406,"17,858630836","67,772678913","14,36869025","0,26","0,2120130188","0,4755208382",,,"14,37%"
2032,118,5169941,19650215,4192244,"17,819763274","67,730401484","14,449835243","0,26","0,2133434163","0,4764418608","0,48","0,26","14,45%"
2032,119,5158970,19666658,4200696,"17,773418363","67,75455962","14,472022017","0,26","0,213594806","0,4759154301",,,"14,47%"
2032,120,5135835,19664906,4230404,"17,690776578","67,737273194","14,571950228","0,26","0,2151245473","0,4762920809",,,"14,57%"
2033,121,5127585,19668048,4243610,"17,657433426","67,729203547","14,613363027","0,26","0,2157616251","0,4764679749",,,"14,61%"
2033,122,5122411,19674341,4256004,"17,631411629","67,719361977","14,649226394","0,26","0,2163225696","0,4766825481","0,48","0,26","14,65%"
2033,123,5102176,19681574,4278017,"17,556317205","67,723253029","14,720429766","0,26","0,2173615281","0,476597705",,,"14,72%"
2033,124,5080727,19704681,4291404,"17,473466486","67,767680308","14,758853206","0,26","0,2177860174","0,475629674",,,"14,76%"
2034,125,5077554,19698357,4316434,"17,453230394","67,709760076","14,837009529","0,26","0,2191266003","0,476891956",,,"14,84%"
2034,126,5073605,19703635,4337644,"17,426155639","67,675471419","14,898372942","0,26","0,2201443541","0,4776402425","0,48","0,26","14,90%"
2034,127,5060288,19718820,4354045,"17,369517127","67,685155809","14,945327064","0,26","0,2208065696","0,4774288218",,,"14,95%"
2034,128,5054121,19742173,4374013,"17,326252343","67,679003173","14,994744485","0,26","0,2215568165","0,4775631335",,,"14,99%"
2035,129,5047886,19759420,4404069,"17,280549101","67,642895961","15,076554938","0,26","0,222884528","0,4783518443",,,"15,08%"
2035,130,5045718,19754434,4438271,"17,257148239","67,563267691","15,17958407","0,26","0,224672142","0,4800941905","0,48","0,26","15,18%"
2035,131,5044195,19752758,4460576,"17,240673332","67,513418512","15,245908156","0,26","0,2258204145","0,4811870322",,,"15,25%"
2035,132,5042766,19747217,4486359,"17,224713388","67,451107792","15,32417882","0,26","0,2271894313","0,4825553393",,,"15,32%"
2036,133,5033448,19729059,4529030,"17,183966823","67,354126893","15,461906284","0,26","0,2295613795","0,4846900199",,,"15,46%"
2036,134,5037384,19740917,4532612,"17,186035795","67,350058321","15,463905884","0,26","0,2296049368","0,4847797091","0,49","0,26","15,46%"
2036,135,5030940,19739344,4544791,"17,161613948","67,335130475","15,503255578","0,25","0,2302402248","0,485108877",,,"15,50%"
