agegroup,women_66,women_65,women_64,women_63,women_62,women_61,women_60,women_59,women_58,women_57,women_56,women_55,women_54,women_53,women_52
16,862355,833860,875626,877080,885578,896034,930439,881967,815530,837736,991653,901545,873883,911032,947414
20,1144842,1119589,1157584,1159568,1224215,1171458,1203294,1208686,1228934,1169703,1155447,1178619,1153419,1134431,1111269
25,1096511,1018731,1065207,1063583,1035467,982389,1010515,1047497,1016615,988394,1047318,1023577,1013925,1029678,1021114
30,1021725,981194,973606,952220,954063,993158,942971,949917,933186,922006,831132,877898,954289,931118,895566
35,1010264,962570,1040379,1007173,917404,946829,981515,938548,940097,918426,943171,992252,987905,981971,958612
40,974386,1027898,946746,962573,995952,968582,945883,935426,952519,989030,950090,890442,926203,893440,937907
45,886471,881410,881798,889682,925155,892298,845090,860049,869359,852165,806606,789638,819907,869534,794650
50,817852,783545,832934,807903,811391,807545,798332,781795,816229,809184,818380,848381,836694,793589,780536
55,790487,732427,798793,793069,764129,757674,746211,757646,769682,724199,770480,762017,737995,773247,754895
60,726100,742895,752923,751152,726802,706461,756285,783920,741941,750580,685854,714687,756748,694661,709563
65,698242,678395,687760,689429,713442,635306,668978,702113,690288,641907,633490,644711,659770,655166,618716
