Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
47,889277,1145575,1056843,973432,1001859,940405,751780,683047,657490,616337,498406
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
48,884526,1164772,1034521,977936,1006089,941440,774108,671317,668817,627628,491291
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
49,885625,1153610,1045477,962117,1015905,939743,791949,662210,677480,629143,501077
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
50,867145,1158074,1059544,959806,1025179,939577,805201,649285,688157,624070,510966
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
51,869063,1154893,1061266,964740,1033959,947175,806148,652393,687061,621801,528275
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
52,876297,1135059,1072484,975564,1033212,948199,809126,659046,689746,626259,530626
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
53,887546,1126475,1081292,967855,1040664,954382,808622,664559,698558,627699,537360
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
54,882003,1128675,1084522,981511,1026174,967747,811208,664278,701735,626842,539892
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
55,870323,1121088,1099477,991301,1017891,966748,822126,675219,697136,616371,547369
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
56,859473,1125005,1109671,982643,1012692,982200,823219,688219,692275,624567,550334
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
57,852583,1125975,1131219,964818,1035157,968855,838007,683356,686491,631949,560485
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
58,839896,1132209,1135464,953353,1042769,977437,839972,692296,693382,624809,557638
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
59,837918,1124940,1143716,962076,1028583,992465,852928,687247,691636,620677,565198
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
60,822408,1130589,1149017,970027,1022083,1016382,841276,696323,695875,611361,568885
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
61,821408,1133472,1148318,976880,1011234,1008415,865702,715965,683094,618304,568882
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
62,825221,1119942,1142095,989274,1014242,1008571,869124,721774,681940,616872,577555
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
63,838657,1101212,1146458,990661,1024159,999366,884802,728822,671510,615580,583710
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
64,845954,1108852,1136007,1002061,1019746,991481,901813,729511,677057,616316,585009
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
65,863438,1089957,1143844,1021868,1014227,986142,905848,736504,673036,614668,591622
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
66,859627,1080526,1149905,1034475,994356,985818,913900,750775,664588,618976,593749
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
67,849115,1090044,1143954,1054508,970754,992519,931524,742272,672814,631794,588901
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
68,846630,1086717,1163151,1032064,974839,996749,931220,765963,658983,643556,600980
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
69,841344,1103581,1151989,1043331,958902,1007951,926302,781420,649599,653182,600284
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
70,841580,1093175,1156453,1057398,956591,1017225,925839,795730,635002,664033,595794
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
71,853163,1081726,1154296,1058438,961392,1023227,933342,796896,637713,662981,594008
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
72,877574,1085769,1134619,1069226,972846,1021295,934747,801976,642497,666579,599275
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
73,877313,1094860,1126035,1078301,964642,1029132,940577,801415,648829,672816,602392
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
74,893697,1083194,1128235,1082327,977684,1015665,955386,802279,650884,672607,601611
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
75,893065,1075964,1120769,1097282,987966,1007144,953590,813139,661633,670966,590184
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
76,893133,1063237,1124844,1107318,980301,1003148,969769,809194,675466,664553,597900
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
77,881754,1057337,1125814,1129502,962313,1026504,954652,824670,671288,660596,604684
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
78,878823,1043555,1131769,1134164,950650,1033690,964717,826635,680066,672109,596218
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
79,889226,1041527,1124431,1142416,959913,1020516,977447,839711,674573,673838,588723
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
80,874107,1038074,1128916,1147717,967671,1015517,1000955,827284,682767,678814,579995
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
81,864169,1039949,1131799,1147263,973679,1005208,993598,853168,698682,667755,584174
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
82,870712,1039538,1118105,1141040,986285,1008216,996708,853105,703796,668548,584572
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
83,871468,1054142,1099375,1145719,987562,1018634,988553,865231,709123,657439,584880
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
84,869357,1053551,1108179,1135268,999125,1013475,979608,882258,711956,660306,587618
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
85,857508,1064025,1089284,1143105,1019856,1007398,974393,889251,719167,656299,587031
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
86,861656,1072335,1079853,1149390,1032140,987527,976353,898722,731143,648495,592915
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
87,863625,1068963,1089371,1143439,1052050,963925,982784,917864,722731,656222,601811
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
88,837345,1090093,1086044,1162623,1029793,969704,985664,919100,745501,644174,612471
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
89,827393,1087674,1103069,1151693,1040873,954784,997904,913176,765106,631914,623911
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
90,819359,1097736,1092663,1155902,1054934,953185,1006263,913073,778663,619414,631599
Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
