Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
49,999473,1179713,1010319,991855,865363,807519,671266,644422,543087,516295,423509
50,1005313,1179818,1009203,1006002,858100,807917,682847,640264,555696,504473,423986
51,997859,1196946,1014074,1007249,854854,813831,689610,642925,562870,504714,413198
52,987668,1207319,1022392,999017,854748,836764,689963,633705,579062,500558,420973
53,973786,1228326,1026741,992166,866051,838289,694387,638241,577546,502050,429474
54,964277,1249074,1011585,992726,886580,836229,694986,640574,585372,502778,428704
55,957626,1254663,1018678,998486,888594,835004,711221,643091,578259,502489,439161
56,949739,1277702,1021185,994076,889598,860135,711742,638107,578323,507215,441437
57,934195,1278006,1038463,987041,907761,851792,720972,633403,585323,509558,446479
58,959911,1258501,1063840,982594,919408,853020,730806,632592,585586,509368,451962
59,954349,1265495,1078926,970316,937817,845663,719187,655997,580908,501610,456677
60,947417,1263584,1097467,973359,928019,836622,747959,638251,595727,506455,454424
61,950835,1264041,1098225,977246,919614,847718,755128,633116,603460,515368,455610
62,941593,1264920,1099915,999663,926989,839688,768794,625086,613638,511490,460790
63,953677,1260408,1121573,991635,941480,846212,773004,628160,608509,512722,467071
64,936687,1260759,1135731,973997,947171,860794,778829,626881,610124,513213,467356
65,948820,1244967,1148971,978872,955432,853138,786789,631945,616010,506744,474686
66,924467,1249185,1155023,978086,957055,856285,792649,637856,620868,503752,472574
67,920578,1245476,1165657,972349,977841,856467,797751,636357,620736,513008,470459
68,916924,1241754,1168105,980360,994894,843788,804272,644084,622131,511183,467364
69,908447,1240002,1170802,1005701,983658,858630,794835,654499,625290,511334,471000
70,913427,1239681,1171178,1001468,999494,853012,793928,668887,617419,523695,460108
71,914393,1227854,1190342,1007170,1000365,849376,800732,674526,622473,530711,458328
72,885501,1232326,1202140,1015555,992427,849108,823915,674615,610118,546625,458424
73,892847,1200696,1223851,1021985,985333,860640,824157,678684,614307,546248,461649
74,873883,1214428,1245318,1006829,986026,881115,823666,679508,616474,551446,460097
75,872104,1202390,1251021,1014253,991381,884696,822039,696128,619410,544858,462040
76,882945,1176732,1274060,1016760,987702,885455,849277,697471,609124,548545,466092
77,878082,1166171,1274746,1033484,981258,901925,840761,706123,608658,548849,465898
78,876055,1170579,1254254,1058748,974257,914095,841163,716329,609401,549344,464117
79,855426,1186987,1259227,1073674,964899,928929,834838,702402,631281,541141,461438
80,869702,1164178,1256959,1092443,969548,918717,826334,729879,617073,555151,464290
81,858803,1178822,1255682,1092143,973502,910945,840600,734525,612935,562276,468431
82,884369,1149470,1257085,1094611,994302,918742,832872,745715,603508,572171,469209
83,880310,1143557,1250430,1116205,986172,934593,838155,750732,606705,567193,470460
84,881557,1141475,1250184,1130414,968478,941479,853152,757470,604592,568316,470697
85,887085,1147187,1234626,1144149,973149,949947,845490,766525,609209,574275,462481
86,892281,1145010,1238539,1150199,972489,952713,847619,773400,609689,580521,460873
87,887401,1139860,1235267,1160611,966924,973406,847713,777757,609942,580716,468609
88,901245,1124087,1231473,1163059,974909,989581,834667,785221,619628,581167,463495
89,900737,1111511,1229208,1165340,1000173,978311,850600,775372,632924,581152,465986
90,896547,1119079,1228091,1165606,996961,994452,844944,776634,647333,571264,480095
91,898218,1112621,1217987,1183897,1002141,993909,841677,785961,653776,574062,486040
92,892333,1107133,1220963,1196660,1009285,987755,837873,811230,653210,563043,499531
93,908579,1107861,1190481,1216847,1015919,981013,849711,813601,658597,565826,495972
94,912956,1083419,1206727,1236267,1000713,980503,870695,811156,662810,569872,502470
95,911351,1084871,1194913,1241698,1010925,983226,872913,809920,679770,571729,496902
96,913626,1084947,1167076,1264091,1012555,981316,872125,838373,681163,567321,495720
97,911429,1084172,1158794,1263020,1028993,975544,889417,828855,689504,570783,495368
98,915741,1090381,1160637,1242777,1054047,970910,901535,829346,698882,570304,496044
99,911027,1069446,1178460,1249452,1067892,962209,915795,823841,687105,590884,489827
100,926404,1083453,1155651,1247973,1086349,967311,905527,817277,713742,576039,505507
101,912067,1082762,1170064,1246992,1086048,971598,898137,830507,717424,575928,512902
102,904218,1110383,1140712,1247767,1088435,992493,905196,823216,731717,566965,519711
103,915862,1108573,1133156,1242646,1109582,983889,922244,828761,734828,574210,512472
104,915859,1115096,1130977,1243188,1124762,964725,928776,843073,741233,573094,515698
105,930028,1110970,1137146,1226736,1138544,968988,934498,835981,749881,579668,518856
106,930412,1108843,1133381,1232970,1142312,967781,942132,834060,756305,582413,524061
107,926427,1105868,1128857,1227770,1152528,962163,962723,836391,760552,577766,525221
108,923145,1119995,1115133,1223598,1154541,970070,978942,823475,767040,589630,525027
109,909017,1129691,1104280,1223756,1155208,995334,966526,838162,755994,605556,519778
110,910082,1128552,1112102,1222738,1153653,991184,981647,831763,755649,618553,510458
111,902788,1130028,1106128,1212477,1171965,996255,981825,828240,763805,624500,518376
112,896477,1119509,1100640,1215415,1184824,1001044,974777,824227,787654,622899,511442
113,890948,1119272,1101739,1182429,1203603,1007658,967593,836246,790878,628804,514238
114,873279,1131358,1078223,1197531,1223273,992167,966496,857187,791312,628461,518814
115,875848,1127872,1080414,1185999,1227479,1001854,967736,860547,790429,642424,515561
116,864110,1142765,1078113,1158594,1250383,1004022,966108,857117,816692,642052,511798
117,855700,1141249,1075615,1150312,1249112,1020530,962630,872957,807470,646599,516130
118,843233,1135660,1081824,1153845,1229003,1043992,957996,884804,810226,655428,515003
119,832158,1145150,1062120,1172601,1234797,1059749,948905,899053,802430,646449,535178
120,823704,1152032,1076213,1150986,1231475,1078429,953936,888448,798861,669875,526055
121,795795,1155984,1076587,1165523,1229422,1078471,956774,882647,811057,675367,523829
122,782590,1147741,1104208,1135611,1231271,1080371,975218,888434,802767,692352,516236
123,777397,1145084,1102122,1128928,1226189,1103207,966397,906844,804618,694029,527363
124,776967,1141709,1108645,1126749,1228277,1117055,947319,912427,819830,698195,528481
125,771103,1138905,1103817,1134976,1210018,1129734,953238,919330,812895,706444,532312
126,755470,1142279,1102495,1131154,1218174,1131591,951220,925045,811547,716722,533729
127,746428,1131533,1099509,1124877,1217229,1139783,944875,942215,812232,720563,533238
128,739479,1120477,1113832,1111687,1214161,1142009,951986,959853,796943,728192,547069
129,738352,1100596,1123732,1101020,1214347,1140418,975885,947897,809951,719135,559655
130,735472,1089665,1122247,1108842,1213445,1141109,976737,959002,802246,718299,574870
131,727581,1090382,1123723,1104562,1199730,1159619,980628,957596,799274,728731,577738
132,726153,1091517,1114182,1097708,1203637,1173409,986838,951184,794219,753714,578543
133,725898,1082176,1115655,1098807,1172800,1195174,991360,944251,807169,754591,579900
134,723225,1059675,1130369,1071455,1187778,1215474,974515,945063,827668,755200,582672
135,721748,1062542,1127010,1074206,1175686,1220406,985220,946257,830096,757590,591539
136,715900,1045954,1141701,1070339,1148127,1241326,986468,944670,827054,784818,593522
137,723103,1038010,1139888,1067636,1143211,1236157,1001797,941068,841414,776539,597493
138,718078,1022898,1132566,1073845,1146744,1216366,1024744,932922,855199,778118,604242
139,712833,1004884,1140325,1054257,1164858,1222823,1041971,919850,869990,769164,597073
140,709456,1001122,1147207,1067669,1144211,1218702,1061249,926304,858755,763766,621844
141,691790,977010,1152814,1068064,1158871,1218706,1059655,928209,850941,778617,626617
142,691235,965253,1144415,1093852,1129384,1220555,1064974,945108,858207,770795,642705
143,700923,950112,1141758,1092073,1122895,1216799,1086009,938507,873603,772417,647902
