Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
49,18112100.061867334,17390176.45044535,61485599.22560116,61334560.72211305,0.0,471704.73997368605,166796.16117428854,119175.30039144523
50,21992894.583782308,21144662.20363436,74058019.05204399,64914572.862527855,10819095.477087975,599476.041410782,158115.16974209412,129487.38427868031
51,20368270.51637625,19505823.92753245,69079600.80899823,68893152.82971919,0.0,623934.2277448508,148923.1212911552,127984.62829685985
52,23460361.328929514,22580570.622757517,79150014.7502278,69386682.72470391,11564447.120783985,651508.3451225355,140449.36566385784,125475.7076937199
53,19398388.588359237,18634557.21439201,65973917.06498267,65796613.526740745,0.0,559182.1589661182,121970.61536871192,118112.28518914132
54,21761286.009938393,21015762.1040433,73681252.54677278,64585767.57244296,10764294.59540716,548324.5940118239,111841.423883926,121939.83999906023
55,19242118.696239736,18516211.310248837,65539405.652861066,65355657.01565659,0.0,527198.1650479949,110105.80997959802,126576.30137614721
56,22245211.484030224,21476403.677944496,75246182.3219952,65939065.54933031,10989844.258221718,574754.2011143649,103185.68587850283,129811.3129897992
57,19449844.60629989,18636504.826880828,65945703.08077085,65749425.042861976,0.0,544465.656829791,199036.90483244963,99767.4539383124
58,22056464.964469317,21271090.949928798,74527681.34379368,65303123.55195592,10883853.925325988,509860.87807585555,199360.25763530796,108789.82689907448
59,19864155.260348175,19074629.1006424,67433893.30688882,67209759.5157471,0.0,511801.6096027063,196222.29084509026,116431.79893995805
60,22875058.693491165,22048748.811712626,77191336.30089526,67623648.82654458,11270608.137757434,557055.0327737588,186062.320765871,118846.46891273033
61,18640327.39976698,17843076.29346669,60283697.42518845,67246172.10794267,0.0,512663.58135117503,210473.56870706624,105877.08034578549
62,21580578.022631355,20824881.290267587,70128467.50263545,67533085.67225021,11255514.278708369,483488.750313802,197246.59015695626,107087.70270430026
63,19094943.185225155,18330303.414577667,62275544.76771929,68483007.6896818,0.0,491344.3117263804,193185.98100068633,114442.11131489054
64,22119577.50041491,21338257.724357136,72207891.45365506,68718488.5065218,11453081.417753635,520128.05236200255,179211.46910738832,117114.64941197728
65,17921291.660167113,17159539.236076545,55080934.636800766,69026351.57881,0.0,503073.7319667571,177918.03016678005,115372.37422433865
66,20776235.27669823,19967110.260927934,64009970.33551972,68890203.48731269,11481700.581218781,539643.2334244346,185012.59331304827,120670.27004687588
67,18032480.50014179,17237349.53419185,55299004.25746341,69319291.64059675,0.0,527283.4613530943,183762.53777537722,120121.3811735271
68,20997003.284252893,20178742.357927673,64699618.780256376,69607346.79530044,11601224.465883406,541112.7019616101,190488.77867474634,123799.20812695075
69,17136763.43763162,16337086.634077154,49621340.25544453,70039047.91572069,0.0,526676.3003169963,187470.68398136008,122185.45608014814
70,20175888.84637117,19372254.78898012,59150171.73419664,70803463.92791457,11800577.321319096,524663.207018735,191119.35803996216,125502.13190336165
71,17510524.58030738,16689599.162473794,50742870.463215105,71466053.14093228,0.0,555884.2172952546,183625.70700485888,116307.84790495815
72,20505588.366200812,19710279.765579075,60248238.86469048,71873070.88227673,11978845.147046119,516929.8141587451,193977.70997960054,120572.96640483911
73,16669564.508846894,15923690.237623222,45727650.50628411,72347555.7893183,0.0,467921.8454514427,191522.4149914432,123471.4439725518
74,19649029.991602518,18873878.332394987,54792281.24155586,72673669.65718701,12112278.276197834,492470.9363038886,193086.8092970983,127991.30515219759
75,16926773.076822687,16093725.847756447,46286173.90622424,72969160.74375689,0.0,552635.1493280556,192804.6540548449,125153.46526191548
76,19789356.942945566,18994860.907463446,55175306.45500885,73125965.66847728,12187660.944746211,508011.93142384384,196515.97612595398,128525.89704616815
77,16095462.379319545,15282734.14758835,41449323.982440844,73260435.27158354,0.0,522433.7680152655,198392.4792494128,131288.54923788414
78,19031245.176190604,18252012.714657377,50196305.62446541,74038168.17351273,12339694.695585456,490989.57649128133,197424.8099637662,129740.10725454791
79,16487193.901102986,15676546.411327263,42641507.6201551,74904567.965928,0.0,526351.1276285623,194277.70927609023,128598.07553010357
80,19399952.598429963,18557105.845194925,51180080.3215797,75045939.48552674,12507656.580921121,548914.5736447092,200254.24122578982,133825.6262350607
81,16622416.36678919,15767731.710385548,42951632.768432885,75252764.23793195,0.0,557573.1907836284,203250.80199848994,134086.66231646173
82,19522901.063290298,18664752.736937843,51469254.14519762,75502511.75974675,12583751.95995779,568904.6450249006,198010.69533085864,130332.83713813337
83,16909791.10290757,16078123.370780097,43835138.41155652,76676784.99053824,0.0,543733.7617735742,197530.89244788152,129147.25415144821
84,19817434.59772461,19012969.461781755,52478978.131753065,76863973.03308064,12810662.172180107,521992.7313291029,193220.72221809498,127502.4034223722
85,16906279.71919621,16088152.1945484,43881993.201506086,76676184.01689003,0.0,518705.43179453525,204263.61538391208,135940.68209908804
86,19876457.16409515,19047335.074402653,52604759.42327762,76879540.73249124,12813256.78874854,533802.5038832546,202200.42374785952,133027.37437341097
87,17203726.984334894,16400659.031833516,44768659.40368929,78044308.84497726,0.0,511366.85158208094,200307.62606989124,130562.10692772311
88,20318397.65843379,19468048.04658094,53946673.77735747,78294914.19672284,13049152.366120473,558550.5893657937,200349.36374120315,130642.36963692745
89,17434675.688850734,16634790.891772194,45553783.21653487,78903932.39111497,0.0,505081.3455654496,202698.79554416763,131578.07995560838
90,20609914.301493946,19737624.03185959,54699280.527976766,79329578.72097772,13221596.453496285,571360.6480646817,207129.73218700255,133999.84197524807
91,17670798.094987858,16826879.718854927,46057186.12401977,79808514.8472922,0.0,550911.973734997,200733.87104403318,131817.90193414487
92,20917446.366878405,20025775.17731225,55603768.25046997,80349236.89064103,13391539.481773505,597461.5843300121,202604.74230625023,130864.08989983924
93,18073178.46410271,17210237.502932467,47228404.88250468,81424095.30941845,0.0,564946.3952487455,203708.40213531238,134694.51969454883
94,21220806.589653112,20403194.734520428,56694764.760745764,81809285.29077114,13634880.881795188,516421.1423348902,205081.02743258496,137299.5505217301
95,18177560.1737688,17307043.15384517,47537643.887348615,81887647.8063197,0.0,569698.0677164344,203989.39156505797,138327.94377447697
96,21317548.287270393,20477113.42075699,56983940.631127246,82035909.05208245,13672651.508680405,533004.1945051906,207887.61783140796,142204.36310972518
97,18173572.464702908,17321508.18383954,47634628.669750564,81826684.33376111,0.0,543237.9428389015,209374.2833364776,142074.36383998542
98,21374668.812954888,20499823.883774143,57106717.14061006,82022536.35624519,13670422.726040863,569155.7810502187,207811.7402689194,139824.86837372615
