period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
49,17715091.29712149,17023151.853301905,17764710.002535623,17069793.433228098,14752676.268174933,2270475.5851269774,14799318.003943805,2270475.4292842946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,20422747.135097377,19622770.7038608,20483176.687965233,19679574.479484096,16969939.80215136,2652830.90170944,17026743.81268514,2652830.6667989576,0.0,0.0,3407167.0425107493,3216617.27416459,3417238.6339333192,3226084.569401395,0.0,0.0
51,19803746.83647926,19026261.304787133,19865434.766804017,19084247.953928843,16392343.747388039,2633917.5573990913,16450330.808702154,2633917.14522669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,21421804.395048674,20579647.39438587,21490198.90792681,20643938.229666285,17675547.05414943,2904100.3402364426,17739838.4213942,2904099.808272087,0.0,0.0,3573630.5623123664,3374490.138854826,3585029.646581943,3385205.2769182953,0.0,0.0
53,18798652.832785763,18061142.43274548,18859852.884376623,18118670.467038725,15421738.115689708,2639404.317055771,15479267.02844169,2639403.438597028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,19381974.186819136,18619675.72742424,19445433.701004423,18679327.654450927,15813499.973317167,2806175.7541070743,15873153.06483461,2806174.5896163182,0.0,0.0,3233380.818067105,3053950.9530635886,3243957.400873255,3063892.938909395,0.0,0.0
55,18442149.606422946,17715594.091830738,18503713.210198842,17773463.86335788,14992578.649956947,2723015.441873794,15050449.693343714,2723014.170014166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,20185806.916536026,19388269.00387802,20254615.8512826,19452949.385827154,16313172.101779215,3075096.9020988103,16377853.76775384,3075095.6180733102,37448.292796407666,36324.84401251543,3366884.5391674154,3180600.4417352024,3378352.6919952743,3191380.503356625,6241.382132734611,6054.140668752572
57,19310128.056226417,18547080.611161087,19377172.751070645,18610102.60967514,15546749.767548282,3000330.8436128036,15609772.894523928,3000329.715151208,68744.48413150136,66682.14960755632,0.0,0.0,0.0,0.0,0.0,0.0
58,20637448.024145756,19820127.203089073,20709754.3962264,19888095.177406874,16525990.848297475,3294136.3547916007,16593959.931116082,3294135.246290789,105406.41037662215,102244.21806532348,3441819.684775556,3252147.7370511843,3453870.7440517605,3263475.73091337,17567.735062770364,17040.70301088725
59,19825398.800148774,19039630.0424421,19896829.353421856,19106774.747813005,15819611.019110939,3220019.023331157,15886756.756712249,3220017.991100756,153068.2711405668,148476.22300634978,0.0,0.0,0.0,0.0,0.0,0.0
