Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
49,18004066.58331405,17351947.91275924,61294383.30951529,61294383.30951529,0.0,371110.2491005288,186193.97136213633,135449.21441735057
50,22160667.130405236,21424014.24216744,75698211.0792046,64884180.92503252,10814030.154172087,449590.6042051224,181303.38435102563,151084.1424023526
51,20241475.102651734,19488563.744321957,68948168.74441566,68948168.74441566,0.0,479075.34328872093,169295.89556962048,149343.0278163347
52,23722454.976876397,22941053.63848976,81128439.10429505,69538662.08939575,11589777.01489929,516797.84909806144,162008.72253142958,146563.95251020606
53,19331296.599987507,18665596.830900818,66019109.63408202,66019109.63408202,0.0,425954.32445760246,141481.17696988164,140377.52522743883
54,22042294.269524816,21400729.493119765,75696584.20685326,64882786.46301708,10813797.74383618,415239.7145947577,127089.69472122662,141764.8101272321
55,19232590.53231149,18611010.56366665,65799884.388200484,65799884.388200484,0.0,399014.5223920148,121633.12177446175,144189.03496910015
56,22573431.3103478,21912021.938732024,77437977.02865374,66375408.88170321,11062568.14695054,439059.8408350382,116461.81036237662,151268.17202623
57,19517489.313673243,18779486.421455376,66351902.70836513,66351902.70836513,0.0,413500.26788301533,238137.82332683867,123378.28715431107
58,23345636.009243514,22607547.93500699,79882706.22117417,68470891.0467207,11411815.174453449,415803.29017690144,230582.91289528285,131002.67309190419
59,20685682.26827353,19996764.97616638,70658358.73833238,70658358.73833238,0.0,367587.18767420034,225108.78577444132,137459.0266550119
60,24447811.704215147,23723572.90132323,83772244.52373704,71804781.02034602,11967463.503391003,396642.778456455,227007.35824403798,143698.09455918183
61,19576770.979535677,18845759.163770687,63609343.14589179,70961222.62144609,0.0,385015.82067155914,255380.6717736086,129450.46188545768
62,22220215.517313946,21501773.523859628,72347360.95631935,69714099.34867379,11619016.5581123,396541.6273473165,234931.1646443492,124241.71637521734
63,18315951.789164394,17663550.80303894,59887509.828085646,66038620.56983441,0.0,364208.08099345677,209332.63892300555,112657.52315570992
64,19986579.53615168,19348222.42799658,65408555.5176618,62201099.77860499,10366849.963100832,358636.0698532814,201337.0989041118,111977.05628244215
65,15765474.155274011,15185663.770591479,48156642.76464408,61869622.94193184,0.0,310026.4969673047,190695.52499802492,112983.37531028944
66,18657793.518582664,18091223.39056369,57965574.85170195,62303493.940088175,10383915.65668136,302288.58792734373,186504.71924660765,111109.74406431752
67,16364341.928140746,15761737.8364468,51006058.33502641,62475844.78658564,0.0,339381.4829101412,184979.17407836957,111776.33529347643
68,19432077.90709501,18802701.15875246,61445769.87941219,63119698.7512848,10519949.791880798,355770.42253360857,191322.73693596027,117547.98410426085
69,15163192.35710331,14561302.323337406,43294825.47002549,63795373.70481239,0.0,331150.0331373597,186511.0640743813,120327.0522202318
70,18426949.811570693,17834080.67649237,54606340.70773603,64850302.37680681,10808383.729467804,328569.38259120885,180025.91774115333,120391.19249422927
71,16057134.032631557,15449557.759290684,47709463.11697576,64937908.354170404,0.0,342394.68964223366,180448.9106018579,121046.67585254599
72,19073850.869173463,18483608.9057601,57787736.812568136,65634634.06534394,10939105.677557325,316457.3310176852,185513.96282900314,126100.95652381767
73,14693182.27487728,14097180.240051614,39249714.37681626,65976503.84304413,0.0,324323.3879620117,185736.85407916867,122773.9896921201
74,17555695.60692049,16941381.223682567,48461392.42818153,66183148.963915266,11030524.82731921,328103.8100287637,199655.33091257728,123650.34613796491
75,15257502.819074025,14605370.346150326,41896180.15643873,66379766.92519311,0.0,359633.4173572747,202037.09911816882,129231.36635465341
76,18482023.018380474,17816520.66801832,52219573.34746263,67881165.47182308,11313527.578637185,377688.30710074335,199125.3447976421,126698.14066252745
77,14340634.910423106,13696747.66408168,35296680.747359015,68545759.28073609,0.0,352664.6504088455,200286.99281710948,129908.00445067474
78,17052476.030614235,16382631.806573672,43816248.93827579,68095091.2680318,11349181.8780053,381967.76580780116,198388.44772337723,127840.01501340329
79,14763701.004441982,14101928.972791845,37939292.497350015,68013146.92081143,0.0,375812.63576206664,196531.56917767358,127754.03815770936
80,17455282.07069348,16824398.650265027,46634261.67616334,67749281.67919903,11291546.94653317,342271.36185077345,199002.35889667066,128013.85668715861
81,14430466.360189138,13763743.176734744,35831602.085921586,68277184.04650702,0.0,376433.1924971918,202654.82320816297,125193.09678434559
82,17050789.295154378,16365797.919393871,43556402.135102235,68278793.74049678,11379798.956749463,390102.05550472025,207176.46579656415,125304.07779889487
83,14601794.386098936,13909005.948490378,36904892.679971784,67874748.42685416,0.0,392512.99557166005,209155.08802117663,130171.93430817289
84,17211634.295752075,16532838.445505438,44806449.392632626,67845391.45340714,11307565.242234522,378891.52834469243,211205.44103952392,126712.68694631636
85,14390811.394249745,13716897.377859863,35795108.822407804,67866649.11651504,0.0,371182.99979961285,212699.57943875212,128616.33878787939
86,17098202.259509448,16416186.885846253,43656332.1591998,68508260.10625525,11418043.35104254,383205.80767964077,210759.38818921262,125785.9682776269
87,14742290.455891965,14047329.21895847,37193384.0746581,68631276.95119779,0.0,385251.7610737816,218037.4620879266,130960.01967398304
88,17317346.551390857,16564585.854956968,44522909.4261535,68437517.70031598,11406252.95005266,444515.00392408564,218481.04861657912,128235.20556175295
89,14641972.546782982,13911036.964613108,36498957.606349215,68482252.77269867,0.0,422368.2499641876,218953.5876402594,128019.63509346712
90,17108779.64633111,16392437.706574984,43637953.7333604,68320466.41442676,11386744.402404461,404027.64220193116,220683.68742749043,130900.87160957872
91,14674677.403233137,13957262.285197306,36788667.00451927,68413340.97752057,0.0,405647.58890720067,220193.83595307177,130819.56167936936
92,17087960.64630662,16363256.32249831,43545237.93121182,68193918.01241712,11365653.00206952,402933.85199829354,228419.9863797189,133357.83632899102
