period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
51,2850155.354668817,932810.7830233164,1462658.8645198806,357792.8852697789,0.0,19281.68395194659,27255.236389260837,44681.579840361395,6823.304539224284
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
52,2683959.8878425793,881720.6126082237,1357880.8037079016,346894.58346184343,0.0,20036.689138798913,24615.183225662655,46617.01641605809,7235.793749849689
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
53,2709686.094586253,610261.7674584062,1189366.8981070342,305641.1622238051,523051.3457842041,5810.357518586421,22153.297060541354,48655.787987030955,6290.107254106078
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
54,2244219.039054485,687689.3251186888,1189887.8927485063,301712.4873874991,0.0,6543.987443634648,22720.41366777379,32166.828933919463,5298.812076653004
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
55,1942180.4215500976,527370.0586690214,1067929.3245355468,284048.7457778992,0.0,3349.866570499895,19996.855113415524,35375.00627389294,4658.822850445189
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
56,3376107.4555642023,1770855.1523724354,1128588.6483154965,368356.03546287835,0.0,7492.935371965859,48381.96177250578,44103.85702135523,10550.19857695765
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
57,3695008.9195886115,1455335.0727986132,1129220.6350611886,347545.760213635,656212.9692146562,8380.51839237339,52164.35021815575,37853.473824600485,9889.73199899627
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
58,3429210.092522645,1720215.8866340828,1180894.2773251575,376959.2133954319,0.0,35590.22574794654,55391.64431095367,51818.923104459274,10082.025624239004
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
59,3001962.872090755,1393291.3623185714,1138019.2087560955,357181.7839545453,0.0,8438.85962980753,51072.78893668586,44988.63671479619,9494.560909342526
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
60,3435960.105027028,1693287.0983273552,1219046.3238874867,384646.046858177,0.0,9989.320688830892,55814.6382776572,64830.70790789637,9464.887345676185
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
61,3656722.302726491,1379372.0324393057,1173084.3338120475,357522.7107028302,649706.4654373889,6404.701105728486,43799.94795893681,40282.84537994196,8621.40539802019
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
62,2744424.0753414487,1253464.1947860273,1082159.2311080333,326132.3969884869,0.0,3945.874334890828,27142.124169739192,45430.72221015206,7656.648662096104
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
63,2577088.2840106855,1134016.1780081713,1032793.4978219705,319322.0283562629,0.0,5199.533075452874,33326.232161069674,46317.17584255086,7494.657235532695
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
64,2590035.3422793024,1188028.7712567197,1005492.6392011886,317000.6700781434,0.0,7685.919190005014,30968.9199703679,35934.87692075913,6191.111297071278
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
65,3056190.55821738,1117608.6451586676,998308.4900429709,317648.39139677363,548423.704875795,8629.823198392396,30425.099177345495,30416.00201298357,6585.997242326407
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
66,2552439.284014934,1184779.568422181,950728.817032013,322542.99697338964,0.0,12127.430441748202,37617.77942083219,37667.98191776262,8036.989152252934
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
67,2472561.6766056307,1110389.9892057276,944760.4677943706,325399.57079861895,0.0,3495.537244987278,38183.17227813722,44868.40325003895,6526.815378995013
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
68,2620356.0933329146,1178136.6746249418,1018659.3104997914,326799.4726697367,0.0,7705.223927116645,37836.80262412107,45280.87183006071,7169.295529557623
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
69,3055961.860331936,1117552.4492358053,977539.8673606971,327635.3730145704,540640.3129080978,7861.508803940496,39374.582251534084,40100.12423444262,6710.348239209492
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
70,2538959.759906482,1164022.6832854005,961131.7961321593,329183.3893127472,0.0,7950.86373351528,34971.419973717784,35230.5059556513,7290.652891330561
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
71,2401069.0998382573,1109419.450828322,893035.9596560101,330033.94459128584,0.0,8782.658077935366,27508.0270056375,27457.606680413737,5935.687584552638
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
72,2509791.9804802705,1128599.4064232893,969647.2573768902,330630.6707268147,0.0,8542.883266914228,32284.344263073275,34665.13953993183,6431.709894341838
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
73,2989809.3612961643,1063609.1215140964,987616.3088349929,330007.0534993415,535740.2221715716,7189.1043338970485,32147.781031289935,27941.190532853037,6107.015624702668
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
74,2532814.404683044,1145831.3202141933,959029.7472049508,332829.337625319,0.0,6924.489542453578,49915.91547621301,28769.68345651743,10176.517137513585
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
75,2425009.6861154335,1132753.5133134585,878098.7893119752,333966.5889370219,0.0,6948.294523691647,35494.35645937484,29978.643087615677,7184.033425484507
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
76,2457056.8294949,1103162.7838069703,922906.7445804592,335326.9367152268,0.0,8198.918538010526,29575.88234665695,51119.43569554107,6237.123612182193
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
77,2959080.4028388425,1077570.7090139017,925033.0912257439,334009.7000526788,527435.1041552196,8941.357952855831,37150.94316468237,40612.15419584894,8027.087128427059
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
78,2435753.0410239543,1144738.804706649,868176.4309279174,333022.98194350087,0.0,4329.746587503981,42521.93292787916,34542.46569501156,7913.559273865279
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
79,2352431.8130927347,1061219.88675484,869687.6304667902,336936.84520914865,0.0,7611.38400107672,35242.27120185144,33594.85469004779,7211.436700723558
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
80,2426947.036705296,1076926.368718816,911371.8473943336,339829.84294727637,0.0,7196.004328458808,32132.71688257849,52337.2847356915,6574.713540757387
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
81,2894599.0227475283,1017789.9628090165,944817.3600123046,340399.535709951,519758.70323458395,8449.733340330478,28983.145113093215,27464.718207655493,6599.123180886288
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
82,2400696.6501074703,1097134.6912769948,887872.9908784964,339094.1083629132,0.0,8316.908445016612,28796.613581276793,32026.762933240938,6236.663052934478
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
83,2396170.737458032,1046848.2536475544,920455.0455638645,340635.4374583313,0.0,7397.829169390268,34110.58521422988,38665.37361341868,6950.529886892934
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
84,2431184.969435719,1101215.9734252887,887651.3482794618,345628.2168626809,0.0,4891.061145103103,40738.33595771114,41940.23190824657,8012.118952876318
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
85,2853729.5941680707,1063411.3544071876,856172.172943836,343122.50776091684,508543.4948840868,4630.5863503966875,40884.050496150645,27036.24869133979,8673.48203259525
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
86,2413545.956105575,1075294.2111000912,902576.0734508237,345248.4691145344,0.0,7993.988699526275,35912.53264438754,37955.99877105367,7497.904552802371
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
87,2353625.5952540394,1060731.1581254292,860411.2358071917,345477.683660156,0.0,7887.728783275182,36454.750082000864,34274.005541635335,7336.4785364782165
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
88,2372568.2928851517,1102149.7235835157,839564.978952529,347551.9970435309,0.0,5437.540714394441,34164.20119386984,35354.957682382,7651.040502667653
period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit
